team_nr,Organisatie,aantalteam,leeftijd_gem,geslacht,ervaring,tijd,gehaald,Introductie,centraal1,centraal2,centraal3,centraal5_,centraal6_,extern1_,extern2_,extern3,extern4,extern5,extern6,extern7,open1_,open2,open3,open4,extravert2_,extravert3_,extravert5,extravert6,extravert7,extravert8,lang1,lang2,lang3_,lang4_,lang5_,direct1,direct2,direct3_,direct4_,direct5_,taak1,taak2,taak3,taak4_,taak5_,taak6_,sturing1,sturing2,sturing3,sturing5,sturing8_,consensus1_,consensus2_,consensus3,consensus4,consensus5,VAR00003,centraal5R,centraal6R,extern1R,extern2R,open1R,taak4R,taak5R,taak6R,consensus2R,sturing8R,consensus1R,extravert2R,extravert3R,lang3R,lang4R,lang5R,direct3R,direct4R,direct5R,CentraalGEM,ExternGEM,OpenGEM,TaakGEM,SturingGEM,ConsensusGEM,ExtravertGEM,langGEM,DirectGEM,filter_$,SturingGEM1
311,NHL 2018,4,17,100,0,16.26,1,4,4.1,3.9,4.5,4.5,1.8,2.6,1.6,4,3.4,4,3.8,3.6,2.2,3.6,4.2,3.8,4,1.9,2.4,3.6,2.7,4,1.8,1.4,4.2,4.2,2.8,4.2,3.6,4.6,3.6,3.6,4,4.2,4,2.2,3.4,2.4,4,4.3,3.6,4.2,2.2,5,3.6,1.9,1.4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
312,NHL 2018,5,19.2,40,80,19.59,1,1,2.4,1.9,4.6,3.4,3.7,4.3,2.8,1.9,2.6,1.6,2.4,3.4,3.8,1.6,2.1,1.8,2.3,1.9,2.6,4.4,3.8,4,4.2,1.4,3.8,4.1,3.8,3.9,4,1.8,2.7,2.3,3.6,2.7,2.4,3.6,3.6,1.2,3.2,3.8,2.9,1.3,2.9,4.2,1.3,4.4,4.1,4.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
313,NHL 2018,4,18.75,100,0,20,2,1,1.2,1.9,2.2,4.8,4.8,4.6,4.4,1.1,1.4,2.4,1.6,2.6,4.6,2.4,2.1,1.8,5,4.2,1.4,1.5,1.2,2.4,4.6,3.8,3.4,1.3,1.8,3.9,3.8,2.6,1.6,1.7,2.5,4.3,4.1,1.9,1.6,1.2,2.1,1.2,2,1.7,4.2,4.2,2.9,2.4,3.7,3.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
314,NHL 2018,4,18,75,0,15.34,1,1,3.4,1.9,2.2,3.3,3.6,2.4,1.8,2.4,5,3.4,3.3,3.7,1.8,4.6,4.3,3.4,1.8,1.6,4.2,3.4,3.4,5,3.7,3,3.4,2.8,3,3.9,4.4,2.6,3.8,4.5,2.5,4.3,4.1,3.9,3.5,1.9,3.5,4,4.6,3.7,1.9,4.2,2.9,4.1,1.7,4.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
315,NHL 2018,4,17.25,100,75,20,2,1,4.6,3.5,3.6,1.5,4,1.3,1.6,4,1.8,1.8,2.5,3.3,1.4,4.2,4.7,4.2,1.4,1.2,4.6,4.6,4.2,3.8,2.1,2.2,4.6,3.6,3.8,3.9,3.2,1.8,1.8,2.9,1.7,3.5,3.7,2.3,3.1,1.5,3.5,3.8,3.3,2,2.7,4.6,1.7,2.5,1.3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
316,NHL 2018,4,20.25,50,25,18.58,1,4,4.6,1.7,1.6,4.3,4,1.3,1.2,4.8,3.8,4.4,4.8,3.3,1.4,4.4,4.8,4.2,3.7,2.1,3.9,3.3,2.6,4.4,4.3,2.9,1.8,3.7,4,4.3,3.6,3.4,3.4,3.3,2.5,4.7,4.1,2.3,4,2.3,3.5,4.2,4.9,3.3,1.9,4.6,2.6,4.1,1.6,1.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
317,NHL 2018,5,23,80,40,16.23,1,1,3.8,2.9,1.3,4.4,4.3,2.4,2,2.7,3.8,3.6,3.8,3.7,2.2,4.4,4,3.9,4.4,3.6,3.5,2.5,2.3,3.8,4.1,3.4,2,2.6,4.8,2.7,1.6,4.6,4.2,4.5,3.3,3.9,2,4.3,3.3,2.3,3.9,3.8,4.2,3.6,2.5,2.3,3.8,4.1,2.2,4.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
318,NHL 2018,4,21,50,0,20,2,3,5,4.1,3.3,2,2.7,1.2,1.6,3.1,3.4,3.2,4.2,2.9,1.4,4,4.4,3.9,3.6,4,2.2,3.9,1.9,2.6,2.3,3.8,3.6,2.4,4.3,3.6,1.6,4.2,3.6,3.6,2.1,3.9,2,3.5,4.1,2.3,2.3,2.6,2.6,2,3.7,2.3,1.8,4.8,4.1,3.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
319,NHL 2018,4,17.25,50,25,20,2,3,1.7,1.6,2.1,4.3,3.9,4,2.6,3.4,3.4,3.3,3.9,3.3,1.8,4.4,2.4,3.6,4.4,3.6,2.6,2.2,2.3,3.4,4.2,4,1.6,3.4,3.8,2.4,1.6,4.2,3.6,3.6,2.1,1.1,2,3.5,4.1,1.5,2.7,2.2,1.8,1.6,2.9,1.5,1.8,4.8,4.9,4.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
320,Noorderlinkdagen 20 sep 2018,2,58,0,100,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
321,Noorderlinkdagen 20 sep 2018,5,22.5,0,20,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
322,Noorderlinkdagen 20 sep 2018,5,24.2,100,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
323,Noorderlinkdagen 20 sep 2018,4,38.75,0,0,19.52,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
324,Noorderlinkdagen 20 sep 2018,5,40.2,60,60,15.3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
325,Noorderlinkdagen 20 sep 2018,3,39,33,0,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
326,Gasunie 25 juni 2018,5,37.8,0,20,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
327,Gasunie 25 juni 2018,6,27.4,33,87,17.3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
328,Gasunie 25 juni 2018,4,29.75,25,50,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
329,Gasunie 25 juni 2018,5,44.2,100,20,18.18,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
330,Gasunie 25 juni 2018,6,31,50,50,13.3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
331,Gasunie 25 juni 2018,6,24,33,100,20,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
