team_nr,Organisatie,aantalteam,leeftijd_gem,geslacht,ervaring,tijd,gehaald,Introductie,centraal1,centraal2,centraal3,centraal5_,centraal6_,extern1_,extern2_,extern3,extern4,extern5,extern6,extern7,open1_,open2,open3,open4,extravert2_,extravert3_,extravert5,extravert6,extravert7,extravert8,lang1,lang2,lang3_,lang4_,lang5_,direct1,direct2,direct3_,direct4_,direct5_,taak1,taak2,taak3,taak4_,taak5_,taak6_,sturing1,sturing2,sturing3,sturing5,sturing8_,consensus1_,consensus2_,consensus3,consensus4,consensus5,VAR00003,centraal5R,centraal6R,extern1R,extern2R,open1R,taak4R,taak5R,taak6R,consensus2R,sturing8R,consensus1R,extravert2R,extravert3R,lang3R,lang4R,lang5R,direct3R,direct4R,direct5R,CentraalGEM,ExternGEM,OpenGEM,TaakGEM,SturingGEM,ConsensusGEM,ExtravertGEM,langGEM,DirectGEM,filter_$,SturingGEM1
431,Stenden 25 tot 29 februari 2019,4,15.25,100,25,20,2,2,1.7,2.6,1.9,3.8,4.3,4.4,3.6,1.8,3.4,3.2,1.8,3.2,4.3,1.8,2.4,3.5,4,1.4,3.4,4.2,1.8,3.8,4.3,3.8,3.5,2.5,3.8,4.1,3.8,2.1,3.4,3.7,2.1,2.6,3.5,2.3,1.6,1.6,1.9,4.3,2.6,1.5,4.1,3.8,4.2,1.8,1.7,2.2, ,2.2,1.7,1.6,2.4,1.7,3.7,4.4,4.4,1.8,1.9,2.2,2,4.6,2.5,3.5,2.2,3.9,2.6,2.3, , , , , , , , , ,0,2.44
432,Stenden 25 tot 29 februari 2019,4,21,0,50,20,2,3,4.2,1.9,4.2,1.5,3.6,1.5,2.1,1.8,4.6,3.5,3.5,3.3,1.9,3.7,5,4.7,3.4,1.7,4.5,1.9,3.8,3.9,1.4,1.6,4.5,4.2,4.1,1.6,2.3,3.8,4.2,3.9,1.8,1.9,2.2,4.4,4.4,3.8,1.8,3.5,3.7,1.9,3.7,1.9,4.2,4,3.8,3.8, ,4.5,2.4,4.5,3.9,4.1,1.6,1.6,2.2,1.8,2.3,4.1,2.6,4.3,1.5,1.8,1.9,2.2,1.8,2.1, , , , , , , , , ,0,2.64
433,Stenden 25 tot 29 februari 2019,4,25,50,75,20,2,2,4.7,4.1,1.7,4.6,4.3,2.7,1.8,3.7,4.4,3.8,3,3,3.6,2.4,4.3,3.3,3.8,1.8,3.4,1.7,1.8,4.3,4.1,1.9,2.7,2,4.1,4.4,3.4,3.2,3.2,3.8,2.6,4.5,4.2,2.2,4,3.7,3.4,4.1,3.8,1.9,2.2,3.4,3.7,3.6,4.1,2.2, ,1.4,1.7,3.3,4.2,2.4,3.8,2,2.3,2.3,3.8,2.6,2.2,4.2,3.3,4,1.9,2.8,2.8,2.2, , , , , , , , , ,0,3.4
434,Stenden 25 tot 29 februari 2019,4,23.25,50,50,19.16,1,3,4.2,2.2,1.7,3.5,4.3,4.2,3.8,1.4,3.9,4.1,1.9,3,4.4,2.2,3,4.3,4.4,4.2,2.1,1.2,1.6,2.6,3.6,3.9,2.1,2.5,3.5,3.3,3,3,3,4,4,4.1,3,3.7,4.4,3.9,4.2,3.7,4.3,3,2,1.9,4.2,3.5,1.6,1.8, ,2.5,1.7,1.8,2.2,1.6,2.3,1.6,2.1,1.8,4,4.1,1.6,1.8,3.9,3.5,2.5, , ,2, , , , , , , , , ,1,3.84
435,Stenden 25 tot 29 februari 2019,4,22,50,50,20,2,2,4.6,3.8,2.6,2.3,2.4,4.4,4.2,1.8,2.2,1.8,2.2,2.6,4.2,1.5,3.5,4,4.4,4.6,1.7,2.1,2.2,3.2,2.2,2.4,3.5,4.6,3.9,4.6,3.4,1.6,2.3,1.8,2.6,2.2,3,1.4,2.2,1.8,2.2,1.8,1.4,2.2,3.4,3.4,4.2,2.6,2.2,2.2, ,3.7,3.6,1.6,1.8,1.8,4.6,3.8,4.2,1.8,2.6,2.6,1.6,1.4,2.5,1.4,2.1,4.4,3.7,4.2, , , , , , , , , ,0,2.04
436,Stenden 25 tot 29 februari 2019,4,22,100,25,17.25,1,3,2.6,2.5,1.2,4.1,3.8,4.5,2,3,4,3.3,3.9,4.1,1.9,4.3,4,3.4,3.4,2.2,3.7,1.8,3.6,3.8,4,3.8,4.2,3.8,3,3.4,1.8,4.2,3.8,4.6,2.2,4.6,3.8,1.9,4.1,4.1,4.2,4.2,3.8,2.6,1.6,3.3,4.1,4,1.7,3.6, ,1.9,2.2,1.5,4,4.1,4.1,1.9,1.9,1.9,4.4,2.7,2.6,3.8,1.8,2.2, ,1.8,2.2,1.4, , , , , , , , , ,1,3.84
437,Stenden 25 tot 29 februari 2019,4,20.75,50,25,18.54,1,1,4.2,4,3,4.2,3,4.6,1.4,2.1,2.4,3,2,3.6,4.4,2.1,2.5,3.6,4.2,3.6,2,1.8,1.7,2.2,4.2,3.6,1.8,2.6,1.9,3.8,1.5,1.6,4.4,4.2,1.6,2.3,2.2,4.2,2,2,4.2,2.7,2.4,1.8,2.2,4,3.8,3,3,4.4, ,1.8, ,1.4,4.6,1.6,1.8,4,4,2.2,3.8,2,1.8,2.4,4.2,3.4,4.1,4.4,1.6,1.8, , , , , , , , , ,1,2.98
438,Stenden 25 tot 29 februari 2019,4,21.5,100,25,20,2,4,3.4,2.1,1.9,4,4.2,4.1,2.1,2.8,2.1,3,4.1,2.4,2.1,4.1,3.8,2.4,1.6,2.2,4.3,2.6,4.2,3.6,3.7,4.6,2.2,2.2,3.4,4.3,3.8,2.6,2.7,2.4,3.8,4.3,4.2,2.4,1.6,2.6,4,3.6,3.7,1.8,2.5,2.2,1.8,3.8,3.8,4.5, ,2,1.8,1.9,3.9,3.9,3.6,4.4,3.4,4.2,3.5,3.8,4.4,3.8,3.8,3.8,2.6,3.4,3.3,3.6, , , , , , , , , ,0,3.32
439,Stenden 25 tot 29 februari 2019,3,22,100,0,20,2,1,4,3,3,4.2,3.7,4.3,4,2.4,3.7,2,1.9,2.8,4.2,2,3.8,3.8,4.3,3.9,1.9,2.2,1.4,2.4,1.8,2.2,4.2,4.6,4.2,3.4,3,4.2,4.2,4.2,2.8,3.8,2.6,3.9,4.2,3.3,3.9,3.7,3.5,2.6,2.3,2.3,2.3,4.5,3.2,3.6, ,1.8,2.3,1.7,2,1.8,2.1,1.8,2.7,3.7,3.7,3.7,1.7,2.1,1.8,1.4,1.8,1.8,1.8,1.8, , , , , , , , , ,0,3.48
440,Stenden 25 tot 29 februari 2019,4,23,0,0,19.26,1,1,4.3,4,2.4,4.5,3.6,1.7,2.1,2.7,4.2,4.2,4.5,4,1.4,3.4,4.6,4.2,1.4,2.2,4.6,1.8,2.2,4.2,1.9,2.3,3.9,4.4,4.3,2,2.3,3.9,4.6,3.8,3.8,1.8,2.3,4.4,4.8,3.8,3.4,4.2,2.2,3,3,3,3,3,3,3, ,1.5,2.4,4.3,3.9,4.6,1.6,1.2,2.2, , , ,4.6,3.8,2.1,1.6,1.7,2.1,1.4,2.2, , , , , , , , , ,1, 
441,Stenden 25 tot 29 februari 2019,4,43.75,25,0,20,2,1,4.2,4.2,4.4,2.2,2.6,2.3,1.7,1.3,3.7,4,4.4,3.4,2,3.7,4.3,2,3.7,4.2,2.6,1.6,2.4,2.4,1.8,2.2,4.2,4,3.7,1.6,1.6,2.4,4.4,4.4,1.8,3.4,1.6,3.6,3.2,2.4,3.4,2.4,2.6,3,2.4,4.2,2,3.8,4.5,3.4, ,3.8,3.4,3.7,4.3,4,2.4,2.8,3.6,4,3.6,1.8,2.3,1.8,1.8,2,2.3,3.6,1.6,1.6, , , , , , , , , ,0,3
442,NHL Stenden Meppel 26 juni 2019,6,49.33333333,16.67,50,20,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
443,NHL Stenden Meppel 26 juni 2019,4,33.75,75,0,20,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
444,NHL Stenden Meppel 26 juni 2019,4,46.75,25,25,20,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
445,NHL Stenden Meppel 26 juni 2019,5,50.2,60, ,20,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
446,NHL Stenden Meppel 26 juni 2019,3,38.5,33,33,20,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
447,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,52,50,50,20,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
448,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,43,20,0,20,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
449,Gemeente Achtkarspelen 4 tot 7 nov 2019,3,32,0,100,16,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
450,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,49,25,75,20,2,1,2.3,1.9,1.6,4.6,4.6,4.2,2,4.6,4.4,3.5,4.4,3.4,1.8,4.6,4.6,3.4,4.6,1.8,4.2,1.8,1.4,1.8,1.4,1.8,4.6,4.2,4.6,4.6,3.8,1.8,1.8,2.2,1.4,1.8,2.6,2.6,4.2,3,3.1,3.9,4.7,3.5,2.6,1.8,4.1,3.9,4.2,4.6, ,1.4,1.4,1.8,4,4.2,3.4,1.8, ,1.9,3.4,4.2,1.4,4.2,1.4,1.8,1.4,4.2,4.2,3.8, , , , , , , , , ,0,3.72
451,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,41,0,80,20,2,1,4.6,4,4.3,1.4,2.2,1.8,1.8,3.4,4.3,3.8,3,4.1,1.7,4,3.6,1.5,4.7,4.2,2.2,1.8,2.2,3.6,1.9,2.2,4.6,4.2,4.2,4.3,1.8,2.3,3.5,4,4.5,3.4,1.9,4,4.4,4.8,1.8,3.4,2.6,1.8,4,1.8,2.1,4.2,4.6,3.8, ,4.6,3.8,4.2,4.2,4.3,2,1.6,1.2,3.9,2,4.2,1.3,1.8,1.4,1.8,1.8,3.7,2.5,2, , , , , , , , , ,0,2.32
452,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,47.5,0,0,20,2,1,4.2,3.8,2.6,4.6,4.2,4.2,4.6,1.8,2.2,2.6,3.8,3,4.2,1.8,2.6,1.8,3.8,3.8,2.5,2,3,4.8,1.6,2.2,4.7,3.8,3,4.1,4.7,2.2,1.8,2.2,3,4.6,1.8,2.3,3,3,4.4,3.8,2,2.2,2.5,1.2,1.8,4.7,4.8,3.4, ,1.4,1.8,1.8,1.4,1.8,3.7, , ,4.2,3.5,4.8,2.2,2.2,1.3,2.2, ,3.8,4.2,3.8, , , , , , , , , ,0,3.18
453,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,48,50,75,19.48,1,2,4.6,2.3,1.8,4.5,4.2,1.7,2.1,4.8,1.6,3.9,4.4,4.2,1.4,4.6,3.5,4.4,1.9,2.3,4.4,3.9,2.2,4.2,4.6,3.7,1.8,4.4,3.5,2.2,1.6,4.3,3.8,4.2,1.3,4.2,3.6,4.3,3.9,2.2,4.6,4.2,4.1,3.8,1.8,4.3,4,1.7,1.7,4, ,1.5,1.8,4.3,3.9,4.6,1.7,2.1,3.8,2,4.2,1.7,4.1,3.7,4.2,1.6,2.5,1.7,2.2,1.8, , , , , , , , , ,1,4.18
454,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,42,0,20,20,2,2,4.4,4.2,3,4.4,4.1,2,1.6,2.2,4.5,4.2,1.4,3.7,1.6,4.8,3.7,3.7,1.4,1.8,4.6,1.8,4.2,4.6,4.6,4.3,2,2.2,1.8,2.4,1.5,4.5,3.9,4.4,1.4,2.2,2.6,4.6,3.9,4.2,1.9,4.6,2.1,2.4,4.4,1.5,1.4,4.7,4.1,4.4, ,1.6,1.9,4,4.4,4.4,1.4,2.1,1.8,4.6,1.6,4.5,4.6,4.2,4,3.8,4.2,1.5,2.1,1.6, , , , , , , , , ,0,2.52
455,Gemeente Achtkarspelen 4 tot 7 nov 2019,3,51,0,0,20,2,2,4.7,4.2,4,1.4,1.4,1.5,1.9,1.4,4.6,2,1.8,2.3,1.4,3.6,4.9,4.4,4.5,4,2,1.6,2,3.4,1.3,2,4.6,4.2,3.8,1.9,1.4,1.2,3.5,2.7,1.8,2.4,1.8,1.8,3.5,2.5,1.6,2.1,1.5,1.7,4.2,1.8,1.4,3.2,4.8,2.4, ,4.6,4.6,4.5,4.1,4.6,4.2,2.5,3.5,4.6,1.8,4.2,1.5,2,1.4,1.8,2.2,4.8,2.5,3.3, , , , , , , , , ,0,1.74
456,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,34.2,25,0,20,2,2,4.6,4.3,4.8,2.2,1.6,1.4,2.2,1.4,3.4,3,3.2,3,1.8,4,4.6,4.4,4.5,1.8,2,1.8,2,3.5,1.4,2.7,4.4,4.2,4.3,2.2,2.4,2,4.2,3.7,1.9,3.7,1.5,3.3,4.1,3,1.6,2.3,2,2.4,4.2,4.3,2.2,1.9,4.8,4.2, ,3.8,4.4,4.6,3.8,4.2,2.7,1.9, ,3.8,1.8,1.7,1.5,4.2,1.6,1.8,1.7,4,1.8,2.3, , , , , , , , , ,0,2.02
457,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,43,25,40,20,2,2,4.5,3,3,3,3,1.8,2.4,4,3.4,3.8,4,3.8,1.8,3.8,4.2,3.4,2.2,1.8,3.7,1.5,2.2,4.2,4,1.8,4.2,4.2,3,3.8,1.9,4.1,3.8,2.6,1.4,4.6,3.4,3.4,3.8,2.2,4.2,4.6,4.3,4,1.6,3.8,4.6,3.8,4.5,4, , , ,4.2,3.6,4.2,2.6,2.2,3.8,1.4,4.4,2.2,3.8,4.2,1.8,1.8, ,1.9,2.2,3.4, , , , , , , , , ,0,4.3
458,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,36,0,25,20,2,2,4.4,3,3,4.6,3.9,1.9,2.3,4.4,3,4,3,3.9,2.5,4,4.4,4.3,4.6,3,3.7,1.5,1.6,4.6,4.3,4.1,3.8,4.3,3,4.6,3,2.1,1.7,2.5,3.3,4.6,4.4,1.8,4.2,3,4.6,3.9,4.4,2.6,1.8,4.2,4,3.5,1.8,4.6, ,1.4,2.1,4.1,3.7,3.5,4.2,1.8, ,2,4.2,1.8,1.4, ,2.2,1.7, ,3.9,4.3,3.5, , , , , , , , , ,0,3.94
459,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,44,0,80,20,2,1,4.4,3,4.3,3.8,2.5,4.5,2.3,4.5,3.6,4,3.7,3.9,2.1,4,4.4,4.3,4.6,4.2,1.8,1.5,1.6,3.6,4.3,2.3,1.8,3.5,4.6,4.4,2.6,2.1,1.7,2.5,2.4,4.6,2.6,4.3,4,2.2,2.6,1.5,2.2,1.4,4.2,2.3,3.5,2.8,4,3.3, ,2.2,3.5,1.5,3.7,3.9,1.7,2,3.8,2.5,1.8,3.7,1.4,1.8,4.2,2.5,1.4,3.9,4.3,3.5, , , , , , , , , ,0,1.9
460,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,51,25,60,20,2,1,4.8,3.6,1.8,4.4,2.4,2.2,2.4,3.5,4.2,4.1,3.5,3.8,1.6,4.2,3.6,4.7,4.9,2.8,4.5,2,2.1,3.8,4.3,3,4.4,3.8,3.8,4.7,3.5,3.8,2.3,2,2,4.9,4.2,1.8,2.4,1.5,4.3,4,3.5,2.3,2.5,3.4,2,3.3,4.4,2.1, ,1.6,3.6,3.8,3.6,4.4,4.2,3.6,4.5,4,3.5,2.6,1.1,3.2,1.6,2.2,2.2,2.2,3.7,4, , , , , , , , , ,0,3.52
461,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,39,0,60,17.33,1,1,2.8,2,1.2,4.6,4.2,1.4,1.5,4.3,4.2,4.5,4.4,3.7,1.6,4.3,4.7,3.3,1.9,2,4.4,4.2,3.6,4,4.3,3.6,1.4,4.1,4.2,1.6,1.8,4.1,3.4,3.8,4,4.6,1.6,3.6,4,4.6,4.6,4.2,4,4.2,1.5,3.9,3.6,4.2,2.3,3.9, ,1.4,1.8,4.6,4.5,4.4,2.4,2,1.4,2.4,4.5,2.1,4.1,4,4.6,1.9,1.8,1.9,2.6,2.2, , , , , , , , , ,1,4.3
462,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,36,40,20,20,2,1,3,3,3,3,3,1.8,2.3,1.8,3.7,1.8,4.2,3.4,4.3,1.7,2.1,3.3,3,3,3,3,3,3,4.6,2.3,2.1,4.2,4.3,4.7,4.2,1.6,2,2.4,3,4.9,4.3,1.4,1.8,1.8,3.1,4.2,4.9,3.6,2.5,4.8,4.2,1.9,1.6,2.4, , , ,4.2,3.7,1.7,4.6,4.2,4.2,1.8,3.5,1.2, , ,3.9,1.8,1.7,4.4,4,3.6, , , , , , , , , ,0,3.86
463,Gemeente Achtkarspelen 4 tot 7 nov 2019,3,29,33,100,20,2,1,1.9,2.6,1.4,4.2,3.8,4,1.9,1.4,4,3.9,4.5,3.6,1.7,4.5,3.8,2,1.8,1.4,4,4.6,4.2,4.2,4.1,3.7,1.4,1.8,2.3,2,1.8,3.4,4,3.4,1.6,3.4,2.2,4.2,3.6,4.2,4.4,3.7,4.2,3.8,1.8,4.2,4.6,1.7,4.6,2.4, ,1.8,2.2,2,4.1,4.3,1.8,2.4,1.8,1.4,4.2,1.8,4.2,4.6,4.6,4.2,3.7,2.6,2,2.6, , , , , , , , , ,0,4.06
464,Gemeente Achtkarspelen 4 tot 7 nov 2019,3,51,33,33,20,2,1,4.6,3.8,1.8,2,1.8,1.4,2,4.3,4.1,4.4,3,3,1.8,4.2,4.5,4,4.6,3.4,1.9,1.3,1.5,4.3,1.4,1.8,4.5,3.9,4.6,4.1,1.7,4.2,3.5,3.8,2.4,3.6,1.3,4.4,3.7,4.2,4.1,3.4,4.5,4.2,1.7,4.4,1.2,4.6,3.9,2.2, ,4,4.2,4.6,4,4.2,1.6,2.3,1.8,4.8,4.3,1.6,1.4,2.6,1.5,2.1,1.4,1.8,2.5,2.2, , , , , , , , , ,0,4.1
465,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,48,25,50,20,2,1,4.8,3.8,1.8,1.5,1.9,4.2,1.5,1.9,4.4,3.7,1.6,4,1.4,4.2,4.4,4.7,1.4,1.7,4.6,3.4,3.7,3.6,4.6,2.5,1.8,4.2,3.7,2.6,1.8,4.3,3.8,4.4,1.6,1.9,1.2,4.5,4.2,3.8,1.4,3.8,4.2,1.8,3.8,1.6,1.8,4.3,4,4.5, ,4.5,4.1,1.8,4.5,4.6,1.5,1.8,2.2,4.2,2.2,4.4,4.6,4.3,4.2,1.8,2.3,1.7,2.2,1.6, , , , , , , , , ,0,2.68
466,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,46,25,25,20,2,1,4.2,4,4.9,1.8,1.8,4.4,1.5,3.4,3,3,3,3,1.8,4.6,3.6,3.8,1.7,1.2,4.2,4.4,3.7,4.1,1.4,1.9,4.6,4.1,3.9,3.7,2.1,3.3,4.5,4,2,2.1,1.6,3.7,4.6,3.6,2.3,1.8,3.4,3.8,4.1,1.6,2,3.3,4.8,4.3, ,4.2,4.2,1.6,4.5,4.2,2.3,1.4,2.4,4,1.9,4.4,4.3,4.8,1.4,1.9,2.1,2.7,1.5,2, , , , , , , , , ,0,2.64
467,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,45,50,50,19.57,1,1,4.6,1.6,1.7,4.4,3.9,2.5,1.5,4.3,4.2,4.6,4.8,4.1,1.4,4.3,3.9,4.5,1.5,1.9,4.8,4.2,1.4,4.4,4.4,3.8,4.2,4,4.4,1.8,2.1,4.5,3.8,3,3.5,4.8,4.4,3.4,4.2,4.2,4.6,4,4.5,3,1.4,4.5,1.5,4,2.1,5, ,1.6,2.1,3.5,4.5,4.6,2.6,1.8,1.8,4.5,4.6,1.5,4.5,4.1,1.8,2,1.6,1.5,2.2, , , , , , , , , , ,1,4.14
468,Gemeente Achtkarspelen 4 tot 7 nov 2019,4,38,0,75,19.12,1,1,5,3.5,4.4,1.8,1.4,1.2,1.9,4.6,4.7,3,1.8,4,3.8,1.9,4.2,4.1,4.2,2.5,4.6,2.5,4.6,4.2,1.7,1.8,4.6,4.1,4,1.8,1.4,4.5,3.9,4.4,1.8,2.2,1.4,4,4.3,4.2,2.4,4.2,2.6,2.6,3.4,1.8,2.2,4.2,3.9,3.7, ,4.2,4.6,4.8,4.1,2.2,2,1.7,1.8,3.8,2.6,4.2,1.8,3.5,1.4,1.9,2,1.5,2.1,1.6, , , , , , , , , ,1,2.88
469,Gemeente Achtkarspelen 4 tot 7 nov 2019,5,37,0,20,20,2,1,4.3,1.8,1.9,3.4,4.2,1.5,2.2,1.8,4.2,4.5,2.2,4.2,1.6,4.8,3.8,3.4,1.9,2,4.4,2.6,3.9,4.2,4.3,3.8,1.8,4.2,3.4,1.5,1.8,3.4,4.5,3.8,3,2.2,3,4.2,3.6,4.2,2,3.8,1.5,2.2,4.3,1.4,2.2,4.3,3.8,4.3, ,2.6,1.8,4.5,3.8,4.4,1.8,2.4,1.8,3.8,1.7,4.6,4.1,4,4.2,1.8,2.6,2.6,1.5,2.2, , , , , , , , , ,0,2.24
470,NHL Stenden 11 & 12 nov 2019,4, ,0,50,20,2,1,1.3,2,1.8,4.3,4,1.6,2.2,3,4.3,3,1.6,3.6,1.8,4.4,3.4,4.2,1.4,1.8,4.5,4.4,4.5,3.6,4.4,3.6,1.7,1.8,1.9,1.8,3.8,3.7,3.5,2.6,1.7,1.3,1.8,4.3,3.8,3.7,4,2.6,1.5,2.2,2.6,1.8,2.3,2.4,4.2,3.6, ,1.7,2,4.4,3.8,4.2,1.7,2.2,2.3,3.7,3.4,4.2,4.6,4.2,4.3,4.2,4.1,2.3,2.5,3.4, , , , , , , , , ,0,2.74
471,NHL Stenden 11 & 12 nov 2019,4, ,0,50,19.59,1,1,3.5,1.7,4.3,4.5,3.6,4.2,1.7,1.8,4.2,3.8,2,3.7,1.6,4.7,3.8,3.8,4.2,1.5,4.7,4.3,3.4,4,4.9,4.6,1.8,1.5,2.6,4.6,3.9,2.2,2.2,2.6,3.2,4.5,4.1,2.3,1.8,2.2,4.2,4.6,3.7,3.3,3,4.5,2.2,4,1.5,3.3, ,1.5,2.4,1.8,4.3,4.4,3.7,4.2,3.8,3.8, ,1.5,1.8,4.5,4.2,4.5,3.4,3.8,3.8,3.4, , , , , , , , , ,1, 
472,NHL Stenden 11 & 12 nov 2019,2, ,0,0,20,2,1,4.1,3.7,3.6,1.8,1.9,1.8,2.2,1.4,4.2,3,3,3,1.9,3.6,3,3,4.7,4.6,1.2,1.7,1.8,3.4,1.6,1.9,4.5,4.2,3.9,1.7,2.1,3.9,4.2,4.1,1.4,2.6,1.8,4,3.4,3.4,2.1,1.8,2.3,1.9,4.2,1.8,1.8,3.8,3.6,3.4, ,4.2,4.1,4.2,3.8,4.1,2,2.6,2.6,4.2,1.8,4.2,1.3,1.4,1.5,1.8,2.1,2.1,1.8,1.9, , , , , , , , , ,0,1.98
473,NHL Stenden 11 & 12 nov 2019,2, ,0,50,20,2,1,3,3,3,3.4,4.3,1.2,3.4,4.6,3.8,3.8,4.1,3.7,1.8,4.2,3.8,2.7,4.6,4.2,1.6,4,2.6,1.8,1.7,2.2,4.3,4.4,3.8,4.8,3.4,1.7,2.6,2.6,2.1,1.5,3.8,1.4,4.5,1.8,3.8,3.6,2.2,1.8,1.8,4.3,4.1,1.8,2,2.3, ,2.6,1.7,4.8,2.6,4.2,4.6,1.5,4.2,1.9,4.2,1.7,1.4,1.8,1.7,1.6,2.2,4.3,3.4,3.4, , , , , , , , , ,0,3.12
474,NHL Stenden 11 & 12 nov 2019,5, ,10,60,20,2,1,4.6,3.8,3,1.8,1.8,2.1,1.8,4,3.6,4.2,4.4,3.4,1.8,4.2,3.7,3.8,1.9,2,3.9,4.2,4.2,3.8,1.5,2.2,3.8,4.4,3.7,4.2,3.8,1.8,1.8,2.2,1.7,4.6,3.6,1.7,3.6,1.4,4.2,4,3.6,1.8,2.2,4.4,3.7,3.4,1.7,4.3, ,4.2,4.2,3.9,4.2,4.2,4.3,2.4,4.6,2.3,3.8,1.6,4.1,4,2.2,1.6,2.3,4.2,4.2,3.8, , , , , , , , , ,0,3.48
475,NHL Stenden 11 & 12 nov 2019,5, ,0,80,17.14,1,4,4.3,3.8,4.5,2,2.2,1.8,1.8,3.5,4.3,4.1,2.7,4.2,1.7,4.2,4,4.8,1.9,2.3,4.6,3.3,4.1,3.8,1.6,2.2,3.9,4.3,4.2,3.8,1.8,4.3,3.9,4.6,2.2,4.8,1.8,4.6,3.6,3.4,4.4,3.8,4.5,3.4,1.9,3.8,1.6,4,3.4,4.2, ,4,3.8,4.2,4.2,4.3,1.4,2.4,2.6,4.4,4.1,2.2,4.1,3.7,2.1,1.7,1.8,1.7,2.1,1.4, , , , , , , , , ,1,4.04
476,NHL Stenden 11 & 12 nov 2019,5, ,80,80,20,2,1,4.3,2.4,1.4,4.6,4.3,1.9,2.2,2.2,4.4,3,4.6,3.4,1.8,4.2,3.8,3.5,1.6,3.4,2.5,2.3,1.4,4.4,4.8,4.3,1.5,1.8,2.8,4,2.1,2.4,3.4,3.3,4.3,3.8,4,2.3,2.6,1.8,3.5,1.8,2.5,2.2,4.1,4,4.6,1.6,2.4,1.5, ,1.4,1.7,4.1,3.8,4.2,3.7,3.4,4.2,1.4,1.9,2,4.4,2.6,4.5,4.2,3.2,3.6,2.6,2.7, , , , , , , , , ,0,2.38
477,NHL Stenden 11 & 12 nov 2019,4, ,25,50,20,2,1,4.5,3.6,2.9,2.2,3.9,1.7,2.5,3.8,4.5,3.6,4,3,2.1,4.3,3.8,4,4.2,3.8,4,1.6,2.2,2,1.6,1.8,3.8,4,3.8,2.6,2,4.4,3.5,4,2.1,4.4,1.8,4.5,4.5,3.7,3.6,3.8,2.3,3.2,2.1,4.2,1.8,4.1,4.4,3.8, ,3.8,2.1,4.3,3.5,3.9,1.5,1.5,2.3,4.2,3.9,1.8,1.8,2.2,2.2,2,2.2,1.6,2.5,2, , , , , , , , , ,0,3.36
478,NHL Stenden 11 & 12 nov 2019,4, ,0,0,20,2,1,1.8,2.3,1.7,4.6,3.7,4.6,3.6,2,1.5,2.7,3.4,2,4.4,2,2.6,2.3,3.8,2.1,4.2,1.8,2.6,1.8,4.3,3.6,1.6,4.3,3.4,3.9,4.2,2.1,2.4,2.2,2.2,1.8,4.2,2.4,1.8,1.8,3.6,3.5,2.1,2.5,2.3,3.9,4.5,2.1,1.9,2.1, ,1.4,2.3,1.4,2.4,1.6,3.6,4.2,4.2,1.5,3.7,2.1,2.2,3.9,4.4,1.7,2.6,3.9,3.6,3.8, , , , , , , , , ,0,3.08
